path,module,is_test,has_main_guard,cli_frameworks,static_inbound_count,non_test_static_inbound_count,static_outbound_count,workflow_reference_count,dynamic_import_indicator_count,execution_reference_count,test_reference_count,supported_root_count,reachable_from_supported_static_root,zero_static_inbound,authority_profile,disposition
domain/current_shadow_sportybet_field_trial.py,domain.current_shadow_sportybet_field_trial,False,False,,5,2,9,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_share_code.py,domain.current_shadow_sportybet_share_code,False,False,,5,2,3,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_team_label_compatibility.py,domain.current_shadow_sportybet_team_label_compatibility,False,False,,2,1,0,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_tolerant_live_inventory.py,domain.current_shadow_sportybet_tolerant_live_inventory,False,False,,4,2,1,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_upcoming_reconciliation.py,domain.current_shadow_sportybet_upcoming_reconciliation,False,False,,5,4,5,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_verified_package.py,domain.current_shadow_sportybet_verified_package,False,False,,2,1,3,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/current_shadow_sportybet_verified_share_code.py,domain.current_shadow_sportybet_verified_share_code,False,False,,1,0,2,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/current_sportybet_accumulator_execution.py,domain.current_sportybet_accumulator_execution,False,False,,2,1,3,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/current_sportybet_accumulator_request.py,domain.current_sportybet_accumulator_request,False,False,,3,1,5,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/current_sportybet_semantic_registry.py,domain.current_sportybet_semantic_registry,False,False,,11,6,7,0,0,0,5,1,True,False,UNKNOWN,UNCLASSIFIED
domain/early_payout_lead_path_probabilities.py,domain.early_payout_lead_path_probabilities,False,False,,5,3,5,0,0,0,2,1,True,False,UNKNOWN,UNCLASSIFIED
domain/evidence.py,domain.evidence,False,False,,1,1,2,0,0,0,0,1,True,False,UNKNOWN,UNCLASSIFIED
domain/fixture_catalog.py,domain.fixture_catalog,False,False,,27,14,1,0,0,0,13,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fixture_intelligence.py,domain.fixture_intelligence,False,False,,34,13,0,0,0,0,21,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fixture_model_features.py,domain.fixture_model_features,False,False,,25,10,1,0,0,0,15,4,True,False,UNKNOWN,UNCLASSIFIED
